Item ID,Created Time,Last Modified Time,Item Name,Sales Description,Selling Price,Sales Account,Is Returnable Item,Brand,Manufacturer,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Tax Name,Tax Percentage,Tax Type,Purchase Tax Name,Purchase Tax Percentage,Purchase Tax Type,Product Type,Source,Reference ID,Last Sync Time,Status,Unit,Unit Name,SKU,UPC,EAN,ISBN,Part Number,Purchase Price,Purchase Account,Purchase Description,Inventory Account,Inventory Valuation Method,Reorder Level,Preferred Vendor,Location Name,Opening Stock,Opening Stock Value,Stock On Hand,Is Combo Product,Item Type,Sellable,Purchasable,Track Inventory,Product Name,Item Description,AttributeName1,AttributeType1,AttributeName2,AttributeType2,AttributeName3,AttributeType3,AttributeOption1,AttributeOptionData1,AttributeOption2,AttributeOptionData2,AttributeOption3,AttributeOptionData3,Category Name,Parent Category,CUSTOMER TYPE
4516918000008601301,2025-01-21 13:59:06,2026-05-08 19:17:31,CASSEROLE-8,24CM Granite Coated Casserole/Glass Lid-1X4,IQD 32000,Sales,true,DELCASA,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,DC1900,6294016308999,0,0,DC1900,IQD 17151.28028,Cost of Goods Sold,24CM Granite Coated Casserole/Glass Lid-1X4,Inventory Asset,fifo,,Western International LLC,,,,12,false,Inventory,true,true,true,CASSEROLE-8,24CM Granite Coated Casserole/Glass Lid-1X4,,,,,,,,,,,,,Active,ELC,
4516918000008601314,2025-01-21 13:59:07,2026-08-09 13:12:00,PAN-21,26CM Granite Smart Frypan/Beige-1X12,IQD 21750,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF9464BGE,6294016413938,0,0,RF9464BGE,IQD 9603.261278,Cost of Goods Sold,26CM Granite Smart Frypan/Beige-1X12,Inventory Asset,fifo,,Western International LLC,,,,50,false,Inventory,true,true,true,PAN-21,26CM Granite Smart Frypan/Beige-1X12,,,,,,,,,,,,,Active,ELC,
4516918000008601327,2025-01-21 13:59:07,2026-07-27 08:34:29,PAN-22,30CM Granite Smart Frypan/Beige-1X12,IQD 27500,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF9466BGE,6294016413952,0,0,RF9466BGE,IQD 11900.80896,Cost of Goods Sold,30CM Granite Smart Frypan/Beige-1X12,Inventory Asset,fifo,,Western International LLC,,,,98,false,Inventory,true,true,true,PAN-22,30CM Granite Smart Frypan/Beige-1X12,,,,,,,,,,,,,Active,ELC,
4516918000008601340,2025-01-21 13:59:07,2026-07-27 08:34:29,PAN-23,22CM Nonstick Frypan-1X24,IQD 12000,Sales,true,DELCASA,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,DC2906,6294016319070,0,0,DC2906,IQD 5302.661217,Cost of Goods Sold,22CM Nonstick Frypan-1X24,Inventory Asset,fifo,,Western International LLC,,,,21,false,Inventory,true,true,true,PAN-23,22CM Nonstick Frypan-1X24,,,,,,,,,,,,,Active,ELC,
4516918000008601353,2025-01-21 13:59:07,2026-06-13 15:27:27,COFFEE WARMER-6,S/S Coffee Warmer-1X30,IQD 7750,Sales,true,DELCASA,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,DC1452,6294016304519,0,0,DC1452,IQD 3394.382682,Cost of Goods Sold,S/S Coffee Warmer-1X30,Inventory Asset,fifo,,Western International LLC,,,,13,false,Inventory,true,true,true,COFFEE WARMER-6,S/S Coffee Warmer-1X30,,,,,,,,,,,,,Active,ELC,
4516918000008601366,2025-01-21 13:59:07,2026-07-22 09:20:54,COFFEE WARMER-7,"430 ML,Granite Smart Coffee Warmer/Gray-1X36",IQD 11250,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF10188,6294016417288,0,0,RF10188,IQD 4901.828524,Cost of Goods Sold,"430 ML,Granite Smart Coffee Warmer/Gray-1X36",Inventory Asset,fifo,,Western International LLC,,,,37,false,Inventory,true,true,true,COFFEE WARMER-7,"430 ML,Granite Smart Coffee Warmer/Gray-1X36",,,,,,,,,,,,,Active,ELC,
4516918000008601379,2025-01-21 13:59:07,2026-08-09 15:51:44,COFFEE WARMER-8,"600 ML,Granite Smart Coffee Warmer/Gray-1X36",IQD 12250,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF10189,6294016417295,0,0,RF10189,IQD 5470.692494,Cost of Goods Sold,"600 ML,Granite Smart Coffee Warmer/Gray-1X36",Inventory Asset,fifo,,Western International LLC,,,,66,false,Inventory,true,true,true,COFFEE WARMER-8,"600 ML,Granite Smart Coffee Warmer/Gray-1X36",,,,,,,,,,,,,Active,ELC,
4516918000008601392,2025-01-21 13:59:07,2026-07-22 09:20:54,COFFEE WARMER-9,"750 ML,Granite Smart Coffee Warmer/Gray-1X36",IQD 13500,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF10190,6294016417301,0,0,RF10190,IQD 5918.051538,Cost of Goods Sold,"750 ML,Granite Smart Coffee Warmer/Gray-1X36",Inventory Asset,fifo,,Western International LLC,,,,25,false,Inventory,true,true,true,COFFEE WARMER-9,"750 ML,Granite Smart Coffee Warmer/Gray-1X36",,,,,,,,,,,,,Active,ELC,
4516918000008601405,2025-01-21 13:59:07,2026-07-22 09:20:54,COFFEE WARMER-10,"430ML,Granite Coffee  Warmer/Beige-1X36",IQD 11250,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF10191,6294016417318,0,0,RF10191,IQD 4901.828524,Cost of Goods Sold,"430ML,Granite Coffee  Warmer/Beige-1X36",Inventory Asset,fifo,,Western International LLC,,,,32,false,Inventory,true,true,true,COFFEE WARMER-10,"430ML,Granite Coffee  Warmer/Beige-1X36",,,,,,,,,,,,,Active,ELC,
4516918000008601418,2025-01-21 13:59:07,2026-08-10 10:26:37,COFFEE WARMER-11,"600 ML,Granite Coffee Warmer/Beige-1X36",IQD 12250,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF10192,6294016417325,0,0,RF10192,IQD 5470.692494,Cost of Goods Sold,"600 ML,Granite Coffee Warmer/Beige-1X36",Inventory Asset,fifo,,Western International LLC,,,,90,false,Inventory,true,true,true,COFFEE WARMER-11,"600 ML,Granite Coffee Warmer/Beige-1X36",,,,,,,,,,,,,Active,ELC,
4516918000008601431,2025-01-21 13:59:07,2026-08-09 15:51:44,COFFEE WARMER-12,"750 ML,Granite Coffee Warmer/Beige-1X36",IQD 13500,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF10193,6294016417332,0,0,RF10193,IQD 5918.051538,Cost of Goods Sold,"750 ML,Granite Coffee Warmer/Beige-1X36",Inventory Asset,fifo,,Western International LLC,,,,78,false,Inventory,true,true,true,COFFEE WARMER-12,"750 ML,Granite Coffee Warmer/Beige-1X36",,,,,,,,,,,,,Active,ELC,
4516918000008601444,2025-01-21 13:59:08,2026-05-08 19:17:33,SAUCE BRUSH-4,Silicone Oil Brush-Blue-1X100,IQD 3500,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF10646,6294016422060,0,0,RF10646,IQD 1493.283984,Cost of Goods Sold,Silicone Oil Brush-Blue-1X100,Inventory Asset,fifo,,Western International LLC,,,,21,false,Inventory,true,true,true,SAUCE BRUSH-4,Silicone Oil Brush-Blue-1X100,,,,,,,,,,,,,Active,ELC,
4516918000008601457,2025-01-21 13:59:08,2026-07-14 08:37:13,SPOON-22,SS Serving Spoon 32X7.3CM-1x144,IQD 4500,Sales,true,DELCASA,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,DC1934,6294016309330,0,0,DC1934,IQD 1936.00375,Cost of Goods Sold,SS Serving Spoon 32X7.3CM-1x144,Inventory Asset,fifo,,Western International LLC,,,,371,false,Inventory,true,true,true,SPOON-22,SS Serving Spoon 32X7.3CM-1x144,,,,,,,,,,,,,Active,ELC,
4516918000008601470,2025-01-21 13:59:08,2026-07-14 08:37:13,TURNER-14,SS Turner 33X9.2CM-1x144,IQD 5000,Sales,true,DELCASA,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,DC1937,6294016309361,0,0,DC1937,IQD 2063.031626,Cost of Goods Sold,SS Turner 33X9.2CM-1x144,Inventory Asset,fifo,,Western International LLC,,,,367,false,Inventory,true,true,true,TURNER-14,SS Turner 33X9.2CM-1x144,,,,,,,,,,,,,Active,ELC,
4516918000008601483,2025-01-21 13:59:08,2026-06-21 11:44:19,SPOON-20,6Pc SS Tea Spoon-1x72,IQD 4250,Sales,true,DELCASA,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,DC1944,6294016309439,0,0,DC1944,IQD 1978.798889,Cost of Goods Sold,6Pc SS Tea Spoon-1x72,Inventory Asset,fifo,,Western International LLC,,,,0,false,Inventory,true,true,true,SPOON-20,6Pc SS Tea Spoon-1x72,,,,,,,,,,,,,Active,ELC,
4516918000008601496,2025-01-21 13:59:08,2026-07-23 12:51:08,SPOON-21,6Pc SS Table Spoon-1X48,IQD 4000,Sales,true,DELCASA,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,DC1945,6294016309446,0,0,DC1945,IQD 2415.533984,Cost of Goods Sold,6Pc SS Table Spoon-1X48,Inventory Asset,fifo,,Western International LLC,,,,63,false,Inventory,true,true,true,SPOON-21,6Pc SS Table Spoon-1X48,,,,,,,,,,,,,Active,ELC,
4516918000008601509,2025-01-21 13:59:08,2026-07-24 22:04:21,KNIFE-33,6Pc SS Table Knife-1X48,IQD 8500,Sales,true,DELCASA,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,DC1947,6294016309460,0,0,DC1947,IQD 3844.378889,Cost of Goods Sold,6Pc SS Table Knife-1X48,Inventory Asset,fifo,,Western International LLC,,,,98,false,Inventory,true,true,true,KNIFE-33,6Pc SS Table Knife-1X48,,,,,,,,,,,,,Active,ELC,
4516918000008601522,2025-01-21 13:59:08,2026-07-06 13:35:13,HANGER-6,Metal Cloth Dryer(159X62X102)CM-1X8,IQD 39750,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF9458,6294016407456,0,0,RF9458,IQD 24196.42446,Cost of Goods Sold,Metal Cloth Dryer(159X62X102)CM-1X8,Inventory Asset,fifo,,Western International LLC,,,,53,false,Inventory,true,true,true,HANGER-6,Metal Cloth Dryer(159X62X102)CM-1X8,,,,,,,,,,,,,Active,ELC,
4516918000008601535,2025-01-21 13:59:08,2026-07-12 11:48:22,IRON BOARD-3,Ironing Board-Turkey 124X38CM-1X2,IQD 62000,Sales,true,DELCASA,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,DC1979,6294016309781,0,0,DC1979,IQD 37506.62125,Cost of Goods Sold,Ironing Board-Turkey 124X38CM-1X2,Inventory Asset,fifo,,Western International LLC,,,,8,false,Inventory,true,true,true,IRON BOARD-3,Ironing Board-Turkey 124X38CM-1X2,,,,,,,,,,,,,Active,ELC,
4516918000008601548,2025-01-21 13:59:08,2026-05-08 19:17:34,IRON BOARD-4,Mesh Ironing Board 31X117X82CM-1X4,IQD 46000,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF10249,6294016417899,0,0,RF10249,IQD 27953.07889,Cost of Goods Sold,Mesh Ironing Board 31X117X82CM-1X4,Inventory Asset,fifo,,Western International LLC,,,,4,false,Inventory,true,true,true,IRON BOARD-4,Mesh Ironing Board 31X117X82CM-1X4,,,,,,,,,,,,,Active,ELC,
4516918000008601561,2025-01-21 13:59:09,2026-08-09 13:16:51,CLEANING GLOVE-1,2pc Cleaning Glove-Latex Long Sleeve-1X200,IQD 4750,Sales,true,ROYALFORD,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,RF10491,6294016420493,0,0,RF10491,IQD 2212.151308,Cost of Goods Sold,2pc Cleaning Glove-Latex Long Sleeve-1X200,Inventory Asset,fifo,,Western International LLC,,,,148,false,Inventory,true,true,true,CLEANING GLOVE-1,2pc Cleaning Glove-Latex Long Sleeve-1X200,,,,,,,,,,,,,Active,ELC,
